,coherence,diversity,score,topic,eval
0,-0.09869197643264732,0.78,0.8,hdbscan_model_labse_text_embeddings,translated_nouns_adjs_verbs
1,-0.10365777120110847,0.835,0.8,hdbscan_model_labse_text_embeddings,nouns_adjs_verbs
2,-0.09616873397696665,0.815,0.8,hdbscan_model_labse_text_embeddings,translated_stop_word_removed_lemmas
3,-0.10253609960984628,0.82,0.8,hdbscan_model_labse_text_embeddings,stop_word_removed_lemmas
4,-0.11305459978850076,0.74,0.78,hdbscan_model_parahprase_min_text_embeddings,translated_nouns_adjs_verbs
5,-0.0936062829458681,0.8,0.78,hdbscan_model_parahprase_min_text_embeddings,nouns_adjs_verbs
6,-0.11070655154060013,0.765,0.78,hdbscan_model_parahprase_min_text_embeddings,translated_stop_word_removed_lemmas
7,-0.0971332683588788,0.79,0.78,hdbscan_model_parahprase_min_text_embeddings,stop_word_removed_lemmas
8,-0.09073446969236174,0.795,0.78,hdbscan_model_parahprase_max_text_embeddings,translated_nouns_adjs_verbs
9,-0.11172438410272349,0.855,0.78,hdbscan_model_parahprase_max_text_embeddings,nouns_adjs_verbs
10,-0.09199299352746017,0.81,0.78,hdbscan_model_parahprase_max_text_embeddings,translated_stop_word_removed_lemmas
11,-0.11243334993351195,0.83,0.78,hdbscan_model_parahprase_max_text_embeddings,stop_word_removed_lemmas
12,-0.079354578388015,0.625,0.35,hdbscan_eng_model_text_embeddings,translated_nouns_adjs_verbs
13,-0.027743520566967193,0.81,0.35,hdbscan_eng_model_text_embeddings,nouns_adjs_verbs
14,-0.08368889478783731,0.625,0.35,hdbscan_eng_model_text_embeddings,translated_stop_word_removed_lemmas
15,-0.02652054306743675,0.81,0.35,hdbscan_eng_model_text_embeddings,stop_word_removed_lemmas
16,-0.10093836105875341,0.785,0.77,hdbscan_model_labse_translated_embeddings,translated_nouns_adjs_verbs
17,-0.11205981339128507,0.815,0.77,hdbscan_model_labse_translated_embeddings,nouns_adjs_verbs
18,-0.09951763451286043,0.815,0.77,hdbscan_model_labse_translated_embeddings,translated_stop_word_removed_lemmas
19,-0.11320126803701708,0.805,0.77,hdbscan_model_labse_translated_embeddings,stop_word_removed_lemmas
